# GEC (GEOPOLITICAL ENTITIES and CODES)
# https://www.cia.gov/library/publications/resources/the-world-factbook/appendix/appendix-d.html (March 2020)

# NOTE: If a territory have multiple values	 like PS	 there must be multiple lines
# NOTE: In case of multiple lines	 the order is important. 1'st line gets 1'st position and will later be default reply...

alpha_2	 gec
AD	 AN
AE	 AE
AF	 AF
AG	 AC
AI	 AV
AL	 AL
AM	 AM
AO	 AO
AQ	 AY
AR	 AR
AS	 AQ
AT	 AU
AU	 AS
AW	 AA
AZ	 AJ
BA	 BK
BB	 BB
BD	 BG
BE	 BE
BF	 UV
BG	 BU
BH	 BA
BI	 BY
BJ	 BN
BL	 TB
BM	 BD
BN	 BX
BO	 BL
BR	 BR
BT	 BT
BV	 BV
BW	 BC
BY	 BO
BZ	 BH
CA	 CA
CC	 CK
CF	 CT
CH	 SZ
CI	 IV
CK	 CW
CL	 CI
CM	 CM
CN	 CH
CO	 CO
CR	 CS
CU	 CU
CV	 CV
CW	 UC
CX	 KT
CY	 CY
CZ	 EZ
DE	 GM
DJ	 DJ
DK	 DA
DM	 DO
DO	 DR
DZ	 AG
EC	 EC
EE	 EN
EG	 EG
EH	 WI
ER	 ER
ES	 SP
ET	 ET
FI	 FI
FJ	 FJ
FK	 FK
FO	 FO
FR	 FR
GA	 GB
GB	 UK
GD	 GJ
GE	 GG
GF	 FG
GG	 GK
GH	 GH
GI	 GI
GL	 GL
GN	 GV
GP	 GP
GQ	 EK
GR	 GR
GS	 SX
GT	 GT
GU	 GQ
GW	 PU
GY	 GY
HK	 HK
HM	 HM
HN	 HO
HR	 HR
HT	 HA
HU	 HU
ID	 ID
IE	 EI
IL	 IS
IM	 IM
IN	 IN
IO	 IO
IQ	 IZ
IR	 IR
IS	 IC
IT	 IT
JE	 JE
JM	 JM
JO	 JO
JP	 JA
KE	 KE
KG	 KG
KH	 CB
KI	 KR
KM	 CN
KN	 SC
KW	 KU
KY	 CJ
KZ	 KZ
LA	 LA
LB	 LE
LC	 ST
LI	 LS
LK	 CE
LR	 LI
LS	 LT
LT	 LH
LU	 LU
LV	 LG
LY	 LY
MA	 MO
MC	 MN
MD	 MD
ME	 MJ
MF	 RN
MG	 MA
MH	 RM
MK	 MK
ML	 ML
MM	 BM
MN	 MG
MO	 MC
MP	 CQ
MQ	 MB
MR	 MR
MS	 MH
MT	 MT
MU	 MP
MV	 MV
MW	 MI
MX	 MX
MY	 MY
MZ	 MZ
NA	 WA
NC	 NC
NE	 NG
NF	 NF
NG	 NI
NI	 NU
NL	 NL
NO	 NO
NP	 NP
NR	 NR
NU	 NE
NZ	 NZ
OM	 MU
PA	 PM
PE	 PE
PF	 FP
PG	 PP
PH	 RP
PK	 PK
PL	 PL
PM	 SB
PN	 PC
PR	 RQ
PS	 GZ  #  ISO identifies as Occupied Palestinian Territory, including Gaza
PS	 WE  #  ISO identifies as Occupied Palestinian Territory, including West Bank
PT	 PO
PW	 PS
PY	 PA
QA	 QA
RE	 RE
RO	 RO
RS	 RI
RU	 RS
RW	 RW
SA	 SA
SB	 BP
SC	 SE
SD	 SU
SE	 SW
SG	 SN
SI	 SI
SJ	 SV
SK	 LO
SL	 SL
SM	 SM
SN	 SG
SO	 SO
SR	 NS
SS	 OD
ST	 TP
SV	 ES
SX	 NN
SY	 SY
SZ	 WZ
TC	 TK
TD	 CD
TF	 FS
TG	 TO
TH	 TH
TJ	 TI
TK	 TL
TL	 TT
TM	 TX
TN	 TS
TO	 TN
TR	 TU
TT	 TD
TV	 TV
TW	 TW
TZ	 TZ
UA	 UP
UG	 UG
UM	 --  # United States Minor Outlying Islands.  ISO includes Baker Island, Howland Island, Jarvis Island, Johnston Atoll, Kingman Reef, Midway Islands, Navassa Island, Palmyra Atoll, Wake Island
US	 US
UY	 UY
UZ	 UZ
VA	 VT
VC	 VC
VE	 VE
VG	 VI
VI	 VQ
VN	 VM
VU	 NH
WF	 WF
WS	 WS
XK	 KV
YE	 YM
YT	 MF
ZA	 SF
ZM	 ZA
ZW	 ZI
