# MID (Maritime_Mobile_Service_Identity)
# http://s73417h.github.io/MIDs/ (March 2020)
# see also: https://en.wikipedia.org/wiki/Maritime_Mobile_Service_Identity

# NOTE: If a territory have multiple values, like CY, there must be multiple lines

alpha_2, mid
AL, 201
AD, 202
AT, 203
PT, 204
BE, 205
BY, 206
BG, 207
VA, 208
CY, 209
CY, 210
DE, 211
CY, 212
GE, 213
MD, 214
MT, 215
AM, 216
DE, 218
DK, 219
DK, 220
ES, 224
ES, 225
FR, 226
FR, 227
FR, 228
MT, 229
FI, 230
FO, 231
GB, 232
GB, 233
GB, 234
GB, 235
GI, 236
GR, 237
HR, 238
GR, 239
GR, 240
GR, 241
MA, 242
HU, 243
NL, 244
NL, 245
NL, 246
IT, 247
MT, 248
MT, 249
IE, 250
IS, 251
LI, 252
LU, 253
MC, 254
PT, 255
MT, 256
NO, 257
NO, 258
NO, 259
PL, 261
ME, 262
PT, 263
RO, 264
SE, 265
SE, 266
SK, 267
SM, 268
CH, 269
CZ, 270
TR, 271
UA, 272
RU, 273
MK, 274
LV, 275
EE, 276
LT, 277
SI, 278
RS, 279
AI, 301
US, 303
AG, 304
AG, 305
CW, 306
AW, 307
BS, 308
BS, 309
BM, 310
BS, 311
BZ, 312
BB, 314
CA, 316
KY, 319
CR, 321
CU, 323
DM, 325
DO, 327
GP, 329
GD, 330
GL, 331
GT, 332
HN, 335
HT, 336
US, 338
JM, 339
KN, 341
LC, 343
MX, 345
MQ, 347
MS, 348
NI, 350
PA, 351
PA, 352
PA, 353
PA, 354
PA, 355
PA, 356
PA, 357
PR, 358
SV, 359
PM, 361
TT, 362
TC, 364
US, 366
US, 367
US, 368
US, 369
PA, 370
PA, 371
PA, 372
PA, 373
PA, 374
VC, 375
VC, 376
VC, 377
VG, 378
VI, 379
AF, 401
SA, 403
BD, 405
BH, 408
BT, 410
CN, 412
CN, 413
CN, 414
TW, 416
LK, 417
IN, 419
IR, 422
AZ, 423
IQ, 425
IL, 428
JP, 431
JP, 432
TM, 434
KZ, 436
UZ, 437
JO, 438
KR, 440
KR, 441
PS, 443
KP, 445
KW, 447
LB, 450
KG, 451
MO, 453
MV, 455
MN, 457
NP, 459
OM, 461
PK, 463
QA, 466
SY, 468
AE, 470
TJ, 472
YE, 473
YE, 475
HK, 477
BA, 478
FR, 501
AU, 503
MM, 506
BN, 508
FM, 510
PW, 511
NZ, 512
KH, 514
KH, 515
CX, 516
CK, 518
FJ, 520
CC, 523
ID, 525
KI, 529
LA, 531
MY, 533
MP, 536
MH, 538
NC, 540
NU, 542
NR, 544
PF, 546
PH, 548
PG, 553
PN, 555
SB, 557
AS, 559
WS, 561
SG, 563
SG, 564
SG, 565
SG, 566
TH, 567
TO, 570
TV, 572
VN, 574
VU, 576
VU, 577
WF, 578
ZA, 601
AO, 603
DZ, 605
FR, 607
GB, 608
BI, 609
BJ, 610
BW, 611
CF, 612
CM, 613
CG, 615
KM, 616
CV, 617
FR, 618
CI, 619
KM, 620
DJ, 621
EG, 622
ET, 624
ER, 625
GA, 626
GH, 627
GM, 629
GW, 630
GQ, 631
GN, 632
BF, 633
KE, 634
FR, 635
LR, 636
LR, 637
SS, 638
LY, 642
LS, 644
MU, 645
MG, 647
ML, 649
MZ, 650
MR, 654
MW, 655
NE, 656
NG, 657
NA, 659
RE, 660
RW, 661
SD, 662
SN, 663
SC, 664
SH, 665
SO, 666
SL, 667
ST, 668
SZ, 669
TD, 670
TG, 671
TN, 672
TZ, 674
UG, 675
CD, 676
TZ, 677
ZM, 678
ZW, 679
AR, 701
BR, 710
BO, 720
CL, 725
CO, 730
EC, 735
FK, 740
GF, 745
GY, 750
PY, 755
PE, 760
SR, 765
UY, 770
VE, 775
