alpha_2	sovereignty
AD	UN member state
AE	UN member state
AF	UN member state
AG	UN member state
AI	United Kingdom
AL	UN member state
AM	UN member state
AO	UN member state
AQ	Antarctic Treaty
AR	UN member state
AS	United States
AT	UN member state
AU	UN member state
AW	Netherlands
AX	Finland
AZ	UN member state
BA	UN member state
BB	UN member state
BD	UN member state
BE	UN member state
BF	UN member state
BG	UN member state
BH	UN member state
BI	UN member state
BJ	UN member state
BL	France
BM	United Kingdom
BN	UN member state
BO	UN member state
BQ	Netherlands
BR	UN member state
BS	UN member state
BT	UN member state
BV	Norway
BW	UN member state
BY	UN member state
BZ	UN member state
CA	UN member state
CC	Australia
CD	UN member state
CF	UN member state
CG	UN member state
CH	UN member state
CI	UN member state
CK	New Zealand
CL	UN member state
CM	UN member state
CN	UN member state
CO	UN member state
CR	UN member state
CU	UN member state
CV	UN member state
CW	Netherlands
CX	Australia
CY	UN member state
CZ	UN member state
DE	UN member state
DJ	UN member state
DK	UN member state
DM	UN member state
DO	UN member state
DZ	UN member state
EC	UN member state
EE	UN member state
EG	UN member state
EH	disputed
ER	UN member state
ES	UN member state
ET	UN member state
FI	UN member state
FJ	UN member state
FK	United Kingdom
FM	UN member state
FO	Denmark
FR	UN member state
GA	UN member state
GB	UN member state
GD	UN member state
GE	UN member state
GF	France
GG	British Crown
GH	UN member state
GI	United Kingdom
GL	Denmark
GM	UN member state
GN	UN member state
GP	France
GQ	UN member state
GR	UN member state
GS	United Kingdom
GT	UN member state
GU	United States
GW	UN member state
GY	UN member state
HK	China
HM	Australia
HN	UN member state
HR	UN member state
HT	UN member state
HU	UN member state
ID	UN member state
IE	UN member state
IL	UN member state
IM	British Crown
IN	UN member state
IO	United Kingdom
IQ	UN member state
IR	UN member state
IS	UN member state
IT	UN member state
JE	British Crown
JM	UN member state
JO	UN member state
JP	UN member state
KE	UN member state
KG	UN member state
KH	UN member state
KI	UN member state
KM	UN member state
KN	UN member state
KP	UN member state
KR	UN member state
KW	UN member state
KY	United Kingdom
KZ	UN member state
LA	UN member state
LB	UN member state
LC	UN member state
LI	UN member state
LK	UN member state
LR	UN member state
LS	UN member state
LT	UN member state
LU	UN member state
LV	UN member state
LY	UN member state
MA	UN member state
MC	UN member state
MD	UN member state
ME	UN member state
MF	France
MG	UN member state
MH	UN member state
MK	UN member state
ML	UN member state
MM	UN member state
MN	UN member state
MO	China
MP	United States
MQ	France
MR	UN member state
MS	United Kingdom
MT	UN member state
MU	UN member state
MV	UN member state
MW	UN member state
MX	UN member state
MY	UN member state
MZ	UN member state
NA	UN member state
NC	France
NE	UN member state
NF	Australia
NG	UN member state
NI	UN member state
NL	UN member state
NO	UN member state
NP	UN member state
NR	UN member state
NU	New Zealand
NZ	UN member state
OM	UN member state
PA	UN member state
PE	UN member state
PF	France
PG	UN member state
PH	UN member state
PK	UN member state
PL	UN member state
PM	France
PN	United Kingdom
PR	United States
PS	UN observer
PT	UN member state
PW	UN member state
PY	UN member state
QA	UN member state
RE	France
RO	UN member state
RS	UN member state
RU	UN member state
RW	UN member state
SA	UN member state
SB	UN member state
SC	UN member state
SD	UN member state
SE	UN member state
SG	UN member state
SH	United Kingdom
SI	UN member state
SJ	Norway
SK	UN member state
SL	UN member state
SM	UN member state
SN	UN member state
SO	UN member state
SR	UN member state
SS	UN member state
ST	UN member state
SV	UN member state
SX	Netherlands
SY	UN member state
SZ	UN member state
TC	United Kingdom
TD	UN member state
TF	France
TG	UN member state
TH	UN member state
TJ	UN member state
TK	New Zealand
TL	UN member state
TM	UN member state
TN	UN member state
TO	UN member state
TR	UN member state
TT	UN member state
TV	UN member state
TW	disputed
TZ	UN member state
UA	UN member state
UG	UN member state
UM	United States
US	UN member state
UY	UN member state
UZ	UN member state
VA	UN observer
VC	UN member state
VE	UN member state
VG	United Kingdom
VI	United States
VN	UN member state
VU	UN member state
WF	France
WS	UN member state
YE	UN member state
YT	France
ZA	UN member state
ZM	UN member state
ZW	UN member state
