# Capitols
# https://www.countries-ofthe-world.com/capitals-of-the-world.html
# + a lot of manuel googeling for all them small places...
# see also: https://en.wikipedia.org/wiki/List_of_national_capitals

# NOTE: If a territory have multiple values, like Bolivia, there must be multiple lines

# NOTE: This file also demonstrate the use of an alternative primary key, in this case 'name_eng'.
#       Though it works - it is not recommended practise, as it is bloody annoying to maintain the exact spelling...
#       If in doubt, look at Palestine, Taiwan or the United Kingdom, then stick to alpha-2!

name_eng, capital
Afghanistan, Kabul
Albania, Tirana
Algeria, Algiers
Andorra, Andorra la Vella
Angola, Luanda
Anguilla, The Valley
Antigua and Barbuda, Saint John's
American Samoa, Pago Pago
Argentina, Buenos Aires
Armenia, Yerevan
Aruba, Oranjestad
Australia, Canberra
Austria, Vienna
Azerbaijan, Baku
Bahamas (the), Nassau
Bahrain, Manama
Bangladesh, Dhaka
Barbados, Bridgetown
Belarus, Minsk
Belgium, Brussels
Belize, Belmopan
Benin, Porto-Novo
Bermuda, Hamilton
Bhutan, Thimphu
Bolivia (Plurinational State of), La Paz (seat of government)
Bolivia (Plurinational State of), Sucre (de jure)
Bosnia and Herzegovina, Sarajevo
Botswana, Gaborone
Brazil, Brasilia
British Indian Ocean Territory (the), Camp Justice
Brunei Darussalam, Bandar Seri Begawan
Bulgaria, Sofia
Burkina Faso, Ouagadougou
Burundi, Gitega
Cabo Verde, Praia
Cambodia, Phnom Penh
Cameroon, Yaounde
Canada, Ottawa
Cayman Islands (the), George Town
Central African Republic (the), Bangui
Chad, N'Djamena
Chile, Santiago
China, Beijing
Christmas Island, Flying Fish Cove
Cocos (Keeling) Islands (the), West Island
Cook Islands (the), Avarua
Colombia, Bogotá
Comoros (the), Moroni
Congo (the Democratic Republic of the), Kinshasa
Congo (the), Brazzaville
Costa Rica, San Jose
Côte d'Ivoire, Yamoussoukro
Croatia, Zagreb
Cuba, Havana
Curaçao, Willemstad
Cyprus, Nicosia
Czechia, Prague
Denmark, Copenhagen
Djibouti, Djibouti city
Dominica, Roseau
Dominican Republic (the), Santo Domingo
Ecuador, Quito
Egypt, Cairo
El Salvador, San Salvador
Equatorial Guinea, Malabo (de jure)
Equatorial Guinea, Oyala (seat of government)
Eritrea, Asmara
Estonia, Tallinn
Eswatini, Lobamba (legislative and royal)
Eswatini, Mbabane (administrative)
Ethiopia, Addis Ababa
Falkland Islands (the) [Malvinas], Stanley
Faroe Islands (the), Tórshavn
Fiji, Suva
Finland, Helsinki
France, Paris
French Polynesia, Papeete
French Southern Territories (the), Saint-Pierre, Réunion
Gabon, Libreville
Gambia (the), Banjul
Georgia, Tbilisi
Germany, Berlin
Ghana, Accra
Gibraltar, Gibraltar
Greece, Athens
Greenland, Nuuk
Grenada, Saint George's
Guam, Hagåtña
Guatemala, Guatemala City
Guernsey, Saint Peter Port
Guinea, Conakry
Guinea-Bissau, Bissau
Guyana, Georgetown
Haiti, Port-au-Prince
Honduras, Tegucigalpa
Hong Kong, City of Victoria
Hungary, Budapest
Iceland, Reykjavik
India, New Delhi
Indonesia, Jakarta
Iran (Islamic Republic of), Tehran
Iraq, Baghdad
Ireland, Dublin
Isle of Man, Douglas
Israel, Jerusalem
Italy, Rome
Jamaica, Kingston
Japan, Tokyo
Jersey, Saint Helier
Jordan, Amman
Kazakhstan, Nur-Sultan
Kenya, Nairobi
Kiribati, Tarawa
Kosovo, Pristina
Kuwait, Kuwait City
Kyrgyzstan, Bishkek
Lao People's Democratic Republic (the), Vientiane
Latvia, Riga
Lebanon, Beirut
Lesotho, Maseru
Liberia, Monrovia
Libya, Tripoli
Liechtenstein, Vaduz
Lithuania, Vilnius
Luxembourg, Luxembourg city
Macao, Macau
Madagascar, Antananarivo
Malawi, Lilongwe
Malaysia, Kuala Lumpur
Maldives, Male
Mali, Bamako
Malta, Valletta
Marshall Islands (the), Majuro
Martinique, Fort-de-France
Mauritania, Nouakchott
Mauritius, Port Louis
Mayotte, Mamoudzou
Mexico, Mexico City
Micronesia (Federated States of), Palikir
Moldova (the Republic of), Chisinau
Monaco, Monaco
Mongolia, Ulaanbaatar
Montenegro, Podgorica
Montserrat, Plymouth (de jure)
Montserrat, Brades (de facto)
Montserrat, Little Bay (under construction)
Morocco, Rabat
Mozambique, Maputo
Myanmar, Naypyidaw
Namibia, Windhoek
Nauru, Yaren
Nepal, Kathmandu
Netherlands (the), Amsterdam
New Caledonia, Nouméa
New Zealand, Wellington
Nicaragua, Managua
Niger (the), Niamey
Nigeria, Abuja
Niue, Alofi
Norfolk Island, Kingston
Korea (the Democratic People's Republic of), Pyongyang
North Macedonia, Skopje
Northern Mariana Islands (the), Saipan
Norway, Oslo
Oman, Muscat
Pakistan, Islamabad
Palau, Ngerulmud
"Palestine, State of", Jerusalem (claimed)  # Don't seem to read right <---------------------------
"Palestine, State of", Ramallah (de facto)  # Don't seem to read right <---------------------------
Panama, Panama City
Papua New Guinea, Port Moresby
Paraguay, Asunción
Peru, Lima
Philippines (the), Manila
Pitcairn, Adamstown
Poland, Warsaw
Portugal, Lisbon
Puerto Rico, San Juan
Qatar, Doha
Réunion, Saint-Denis
Romania, Bucharest
Russian Federation (the), Moscow
Rwanda, Kigali
Saint Barthélemy, Gustavia
"Saint Helena, Ascension and Tristan da Cunha", Jamestown  # Don't seem to read right <---------------------------
Saint Kitts and Nevis, Basseterre
Saint Lucia, Castries
Saint Martin (French part), Marigot
Saint Pierre and Miquelon, Saint-Pierre
Saint Vincent and the Grenadines, Kingstown
Samoa, Apia
San Marino, San Marino
Sao Tome and Principe, São Tomé
Saudi Arabia, Riyadh
Senegal, Dakar
Serbia, Belgrade
Seychelles, Victoria
Sierra Leone, Freetown
Singapore, Singapore
Sint Maarten (Dutch part), Philipsburg
Slovakia, Bratislava
Slovenia, Ljubljana
Solomon Islands, Honiara
Somalia, Mogadishu
South Africa, Bloemfontein (judicial)
South Africa, Cape Town (legislative)
South Africa, Pretoria (administrative)
South Georgia and the South Sandwich Islands, King Edward Point
Korea (the Republic of), Seoul
South Sudan, Juba
Spain, Madrid
Sri Lanka, Sri Jayawardenepura Kotte
Sudan (the), Khartoum
Suriname, Paramaribo
Svalbard and Jan Mayen, Longyearbyen
Sweden, Stockholm
Switzerland, Bern
Syrian Arab Republic (the), Damascus
Taiwan (Province of China), Taipei
Tajikistan, Dushanbe
"Tanzania, the United Republic of", Dodoma  # Don't seem to read right <---------------------------
Thailand, Bangkok
Timor-Leste, Dili
Togo, Lomé
Tokelau, Atafu (largest city)
Tonga, Nukuʻalofa
Trinidad and Tobago, Port of Spain
Tunisia, Tunis
Turkey, Ankara
Turkmenistan, Ashgabat
Turks and Caicos Islands (the), Cockburn Town
Tuvalu, Funafuti
Uganda, Kampala
Ukraine, Kiev
United Arab Emirates (the), Abu Dhabi
United Kingdom of Great Britain and Northern Ireland (the), London
United States of America (the), Washington D.C.
Uruguay, Montevideo
Uzbekistan, Tashkent
Vanuatu, Port Vila
Holy See (the), Vatican City
Venezuela (Bolivarian Republic of), Caracas
Viet Nam, Hanoi
Virgin Islands (British), Road Town
Virgin Islands (U.S.), Charlotte Amalie
Wallis and Futuna, Mata Utu
